voiceID,startTime,endTime,avgTime,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanPitch,maxPitch,minPitch,meanIntensity,maxIntensity,minIntensity
324.254_326.074,324.254,326.074,325.164,260.724831915571,96.31565854227118,12.398400970935313,0.01831440172938346,7.073439959753917e-05,0.008484407059783521,0.009887656935025897,0.025453221179350564,0.06827237414328985,0.875965725343291,0.024273853247409768,0.0374894880436376,0.06762905036863966,0.0728215597422293,195.02789407222917,506.04625994299306,88.08714411139916,67.63304190058747,82.0153414810467,35.11522737954848
340.322_340.805,340.322,340.805,340.5635,290.5446308593332,38.42517668067588,12.414484539549315,0.021060284449100138,7.246452869533979e-05,0.011264932285941467,0.014141677504055948,0.0337947968578244,0.08152749713380562,0.8027226595937489,0.030214721129541648,0.04328920168349714,0.09010174037415274,0.09064416338862494,252.91991989570894,573.5010458922412,179.72150711535122,63.919760291700314,78.98447904782553,35.177295854711744
349.699_349.972,349.699,349.972,349.8355,318.0510436613753,56.71995350697423,7.949586915284004,0.05545267643946701,0.0001784823998160321,0.03245784004699545,0.04555164407433711,0.09737352014098635,0.21394869096949934,2.068817678577701,0.08803780529367565,0.08925481508726564,nan,0.26411341588102694,332.42150540841385,561.2753044813118,188.87591804917525,61.52859556851353,76.48553782239009,45.56057999560507
361.395_361.584,361.395,361.584,361.4895,415.8113552852316,25.888301806918527,0.4614402139398461,0.03447772616056845,8.304846427710132e-05,0.004711065283439207,0.01155328535148024,0.014133195850317623,0.20408441692765425,1.8912555459282727,0.07406135682235136,0.1483141129742077,nan,0.22218407046705407,302.1374458964665,324.31618804399085,272.79458567080957,70.23816054896838,75.58419631811303,64.71719331706943
371.086_371.191,371.086,371.191,371.1385,nan,nan,0.8420702998695127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-1.0,56.11779308546764,56.70882196780595,55.6075664003426
426.546_426.688,426.546,426.688,426.61699999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-1.0,35.89656264078276,42.37656485583366,31.102578307911543
474.919_475.437,474.919,475.437,475.178,nan,nan,2.738531336269427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-1.0,34.564155854776914,70.67956084564544,18.580748092660013
497.899_498.399,497.899,498.399,498.149,275.371503771365,16.531377242229393,7.079990552743537,0.02049921892175538,7.486731459189682e-05,0.010023942110537953,0.00648831131549548,0.030071826331613857,0.10623959710411114,0.9289601198943347,0.04897178187391927,0.05518516764410015,0.07071155848677267,0.14691534562175781,201.51236338279108,223.6479566495305,188.40981989742627,65.12620316068254,79.27155431264464,40.097983530931
499.932_500.44,499.932,500.44,500.18600000000004,246.41707175202464,33.87267336847561,15.082215589037002,0.017159784078084904,6.908419990085529e-05,0.009342615587490798,0.008094942286602317,0.028027846762472393,0.1224867516375576,1.0635090941809011,0.06120188195319981,0.05918911472172823,0.08497963752793741,0.18360564585959943,114.38327499717727,188.9329083122975,91.69890094747267,70.26808841737594,80.32240410221497,38.54902416180167
505.797_506.11,505.797,506.11,505.9535,276.77324552095376,12.251126928220213,15.15220892141601,0.013781035684783132,4.99613116618329e-05,0.004976980482577942,0.008105717781488945,0.014930941447733825,0.08536412649322642,0.8981611726686402,0.03269672110645247,0.04806284589062446,0.09951243033044962,0.09809016331935741,201.14023147169294,213.29536849953038,182.50677730915618,67.21492070653129,71.0453475841325,58.68242037058643
