AGE,GENDER,CONDITION,ID,ID METRICS,RECALL,RECOGNITION,lesson,avg_RECALL,avg_RECOGNITION,apq11Shimmer,apq3Shimmer,apq5Shimmer,ddaShimmer,ddpJitter,HNR,localabsoluteJitter,localdbShimmer,localJitter,localShimmer,maxIntensity,maxPitch,meanF0Hz,meanIntensity,meanPitch,minIntensity,minPitch,ppq5Jitter,rapJitter,stdevF0Hz,type_of_feature
30,Female,1,Nash9,Nash9- Human,41%,83%,beer,,,-0.2567471854,0.1962179572,0.2656744191,0.1962179572,-0.06386930652,0.02891383544,-0.1440960397,0.2930157268,-0.1395392808,0.2736718434,-0.0549645305,-0.04493027005,0.02966696265,-0.04839735726,-0.2046354769,-0.1746308739,-0.09336521842,-0.4129705439,-0.06386930652,0.05193143322,convergence
27,Female,2,Nash1,Nash1,5%,83%,beer,,,0.3563542708,0.4294791658,0.09668570203,0.4294791658,0.2521145928,0.08099215693,0.2719368501,0.5210376911,0.06500480645,0.4978740657,0.2568226283,-0.1540052363,0.02406440223,0.2167469162,-0.2040476496,0.3136624933,0.24480697,0.06197077477,0.2521145928,0.1251775391,convergence
22,Male,1,Nash3,Nash3,41%,83%,beer,,,0.1721236383,0.5330853698,0.4167050365,0.5330853698,0.1781336831,0.5680424045,-0.1467832636,0.2048567363,0.1577092995,0.3145769032,0.2979814827,-0.1334970559,-0.1854793818,-0.07908147442,-0.09184392666,-0.02770609588,-0.3999993081,0.1406678245,0.1781336831,-0.003646974116,convergence
22,Male,1,Nash2,Nash2,32%,50%,beer,,,0.5392418312,0.517028404,0.5559188276,0.517028404,0.3672646485,0.3192738227,-0.02267597109,0.6172951956,0.123739029,0.5130469707,0.132323003,-0.05229136334,-0.1853733923,0.2511779277,-0.1139742325,0.1256367429,0.1971245618,0.1822058511,0.3672646485,0.07563330038,convergence
26,Male,1,Dekel-6,Dekel-6,23%,100%,beer,,,-0.2249689769,0.2929975336,-0.2782572313,0.2929975336,0.342083953,-0.1039974314,0.1692790914,0.3397817992,-0.05897517056,0.1908061163,0.3441729835,-0.1513154206,-0.3458341065,0.02342628432,-0.01823513472,0.05772327193,0.1966169025,0.3333147816,0.342083953,0.4650324354,convergence
66,Male,1,Nash8,Nash8- Human,50%,83%,beer,,,0.1143798642,0.1686935064,0.3885903862,0.1686935064,0.003025487334,-0.1817649936,0.002389911214,0.3090861842,-0.2326488935,0.2394593605,0.4264523348,-0.4276062761,0.3117832737,-0.2202597688,-0.4682418575,-0.08255367966,-0.1755345401,0.003278221356,0.003025487334,-0.4242064262,convergence
35,Male,1,Nash6,Nash6- Human,14%,50%,beer,,,0.00318864267,0.3921497353,-0.04240581635,0.3921497353,-0.0005386312003,-0.3015544243,-0.05779559431,0.2310247339,-0.2802309358,0.3402076458,-0.09499724209,0.1355919158,0.09138305584,0.09135201113,-0.1347477872,0.2425643413,0.09733823418,-0.2369053757,-0.0005386312003,-0.2796146343,convergence
27,Male,2,dekel-5,Dekel-5,18%,83%,beer,,,0.2013060768,-0.1013791477,0.1102298244,-0.1013791477,-0.3096956363,-0.181371674,-0.3867621961,-0.1426019794,-0.3671155493,-0.149990461,0.2410520309,-0.08101501177,-0.1481178447,0.1379199927,-0.1962584718,-0.152103779,0.266661904,-0.325639397,-0.3096956363,-0.1166623652,convergence
24,Female,1,dekel-8,Dekel-8 Human,23%,83%,beer,,,0.0747644423,0.5048280298,0.01467607016,0.5048280298,0.2988973172,0.001163679968,0.4239876186,0.2901336823,0.2558197563,0.3676052013,0.01904482213,0.2594683015,-0.6308066451,-0.05936036525,-0.5924999326,-0.5143105574,0.5290388963,0.2413489078,0.2988973172,0.3812500955,convergence
25,Female,1,Nash10,Nash10- Human,27%,83%,beer,,,-0.2619440922,0.6356834598,0.4417775949,0.6356834598,0.2319532473,-0.01780454074,-0.01226877146,0.2472064964,-0.2956154789,0.4622967911,0.3016631453,-0.06676927435,0.004182126278,0.1410912171,-0.01327952595,0.005252303886,0.575391264,-0.4436785533,0.2319532473,-0.0368912968,convergence
22,Female,2,Dekel-2 Furhat,Dekel-2 Furhat,23%,83%,beer,,,0.2365855697,0.3856975624,0.2880909353,0.3856975624,0.08148148226,0.07213529536,0.0004216709618,0.4731472509,-0.1175484596,0.2668003787,0.3580781608,-0.4212580833,0.02612440235,0.2089444079,-0.4402295381,-0.199289328,-0.317090439,-0.1903500138,0.08148148226,0.1168778758,convergence
23,Female,2,Nash7,Nash7- Robot,9%,100%,beer,,,-0.03088031722,0.1587236081,0.2954006965,0.1587236081,0.3109654797,-0.4148406627,0.1225152694,0.3588185147,0.1456414906,0.2454741146,-0.07481724379,0.1381198125,-0.601512746,0.2320496621,0.08506577339,0.06441648227,-0.6762199092,0.1985088594,0.3109654797,-0.2243580247,convergence
26,Male,2,Dekel/3,Dekel-3 Furhat,14%,100%,beer,,,0.09252149627,-0.08214205575,-0.3774965656,-0.08214205575,-0.4015952423,-0.1256202563,-0.1948431582,-0.2675118588,-0.3927833661,0.0256387987,0.1486034588,0.1549954203,-0.3294383101,-0.2408694988,0.1208853002,0.5659301752,0.3925309677,-0.2538703071,-0.4015952423,0.02898993662,convergence
24,Male,1,Masha10,Masha10-Human,14%,67%,beer,,,0.06618003288,-0.3471407037,-0.2021174135,-0.3471407037,-0.343132747,0.001805149057,-0.109531075,-0.4332186006,-0.1700486883,-0.5071304584,0.005975672909,-0.1813729996,-0.1971333207,-0.07707418315,-0.2858622415,0.02756622562,-0.1850075206,-0.2012392639,-0.343132747,-0.1121282685,convergence
60,Male,2,Sarah-2,Sarah-2 Furhat,9%,100%,beer,,,0.1715746033,0.1543762067,0.3602468731,0.1543762067,0.1979942067,0.1495416812,-0.06728395733,0.1405779038,0.2348421347,0.1938289846,0.4416155856,0.290029223,-0.09559584731,0.488211646,0.09522323797,-0.2560549615,0.2533390268,0.2409521042,0.1979942067,0.1890808491,convergence
24,Female,1,Masha8,Masha8-Human,5%,50%,beer,,,0.469263655,0.367382441,-0.03771284964,0.367382441,-0.1216474161,0.3283206601,-0.08248261618,0.2262697847,-0.4310802026,0.2122228155,0.09133873922,0.0251427245,0.3565996564,-0.2311608134,-0.06122505853,-0.01151081394,-0.2204370774,-0.02252540712,-0.1216474161,0.1978968109,convergence
