Age,Gender,Condition,Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
27,Female,2,Sarah - 507 Furhat,localabsoluteJitter,-0.5858112049,0.024814609269999996,0.3264209037,0.039155656180000005,0.1232183033,0.03215006627,0.20497466190000002,0.023677749640000002,0.3498514129,0.0143378495,0.5707388086,0.01386546965,0.5841004211999999,0.014997864419999998,0.5544091641,0.01488783563,0.5579538217
27,Female,2,Sarah - 507 Furhat,rapJitter,-0.6149631643,0.03913060618,0.1216558218,0.1405511765,2.7200000000000002e-08,0.1293606392,3.05e-07,0.11719544949999999,3.44e-06,0.10525750810000001,2.9999999999999997e-05,0.1007941167,6.63e-05,0.09762331810000001,0.0001147934379,0.09303192675000001,0.0002436372827
27,Female,2,Sarah - 507 Furhat,ppq5Jitter,-0.5131587247,0.08502566792000002,0.0007568523451000001,0.3716675791,5.389999999999999e-52,0.35932831,1.25e-48,0.34630466950000005,3.2799999999999993e-45,0.3347717775,2.5699999999999998e-42,0.33601859549999996,1.6499999999999998e-42,0.3376713922,8.38e-43,0.34208650079999997,8.1e-44
27,Female,2,Sarah - 507 Furhat,ddpJitter,-0.6149631643,0.03913060618,0.1216558218,0.1405511765,2.7200000000000002e-08,0.1293606392,3.05e-07,0.11719544949999999,3.44e-06,0.10525750810000001,2.9999999999999997e-05,0.1007941167,6.63e-05,0.09762331810000001,0.0001147934379,0.09303192675000001,0.0002436372827
27,Female,2,Sarah - 507 Furhat,localShimmer,-0.592764023,-0.32078728089999997,8.24e-39,0.1358942869,7.76e-08,0.14296865779999998,1.48e-08,0.14826744779999998,3.96e-09,0.15072638789999998,2.0499999999999997e-09,0.1647156213,5.86e-11,0.181433653,5.550000000000001e-13,0.1925604145,2.02e-14
27,Female,2,Sarah - 507 Furhat,localdbShimmer,-0.5601298325,-0.1624297419,1.01e-10,0.2112609641,4.1600000000000007e-17,0.2159079146,7.2e-18,0.2186034409,2.42e-18,0.215064098,7.65e-18,0.21872836969999998,2.31e-18,0.22559277309999998,2.1e-19,0.2301015257,4.39e-20
27,Female,2,Sarah - 507 Furhat,apq3Shimmer,-0.5770014345000001,-0.5492319018,4.229999999999999e-124,0.1701923352,1.51e-11,0.1778712954,1.5800000000000001e-12,0.1811231799,5.589999999999999e-13,0.1889343848,4.75e-14,0.20377963079999997,4.28e-16,0.2182202804,3.14e-18,0.231179548,2.9100000000000003e-20
27,Female,2,Sarah - 507 Furhat,apq5Shimmer,-0.5365213161,-0.4208300922,3.0299999999999992e-68,0.41039678490000003,4.53e-64,0.4189270087,3.659999999999999e-67,0.4249061083,1.86e-69,0.4305542601,1.09e-71,0.4435960525,2.999999999999999e-76,0.4547487883,2.9499999999999997e-80,0.4664040142,1.3399999999999998e-84
27,Female,2,Sarah - 507 Furhat,apq11Shimmer,-0.4642772617,-0.31709101,6.489999999999999e-38,-0.019268338490000002,0.44827230020000003,-0.038472508839999996,0.1292831067,-0.05478109328,0.03044404584,-0.07603945895,0.002603499703,-0.0886457446,0.00045413104980000004,-0.1050188263,3.3100000000000005e-05,-0.1110815134,1.1599999999999999e-05
27,Female,2,Sarah - 507 Furhat,ddaShimmer,-0.5770014345000001,-0.5492319018,4.229999999999999e-124,0.1701923352,1.51e-11,0.1778712954,1.5800000000000001e-12,0.1811231799,5.589999999999999e-13,0.1889343848,4.75e-14,0.20377963079999997,4.28e-16,0.2182202804,3.14e-18,0.231179548,2.9100000000000003e-20
27,Female,2,Sarah - 507 Furhat,meanPitch,-0.3978942398,0.07278115524,0.003955730954,0.4565146028,1.0899999999999998e-80,0.4519825711,3.4399999999999995e-79,0.4468870227,1.7199999999999994e-77,0.44215200590000003,6.03e-76,0.4354458303,3.1e-73,0.427591815,3.459999999999999e-70,0.4181208587,1.1199999999999998e-66
27,Female,2,Sarah - 507 Furhat,maxPitch,-0.7088453416,0.022994974249999998,0.36315630520000003,-0.2044856969,4.1900000000000005e-16,-0.2100362292,5.660000000000001e-17,-0.2178956761,3.12e-18,-0.2228522764,4.49e-19,-0.2222495014,6.379999999999999e-19,-0.2215748102,9.290000000000002e-19,-0.2238942371,4.5e-19
27,Female,2,Sarah - 507 Furhat,minPitch,-0.5542283973,0.2412528913,3.5700000000000003e-22,0.7636942506000001,1.0799999999999995e-296,0.7553187495,1.7199999999999987e-287,0.7441249851,1.999999999999999e-275,0.7320618808,5.239999999999997e-263,0.7202205286,7.559999999999995e-250,0.7032253012,1.709999999999999e-232,0.6822452073999999,6.229999999999997e-213
27,Female,2,Sarah - 507 Furhat,meanIntensity,-0.6428621374,0.1341297448,9.939999999999999e-08,0.005858712516,0.8176658983,0.032533492139999995,0.1996218344,0.056225553270000006,0.02632246497,0.0689751884,0.0063217504,0.07558003539,0.002807992099,0.0770567366,0.00235267068,0.07515767186000001,0.003059277793
27,Female,2,Sarah - 507 Furhat,maxIntensity,-0.7451959622,0.36253655549999997,7.72e-50,-0.310248941,5.8899999999999996e-36,-0.3319226883,2.47e-41,-0.35063339270000005,2.23e-46,-0.3624121794,8.38e-50,-0.3700703722,7.49e-52,-0.376877571,1.08e-53,-0.3761200604,2.66e-53
27,Female,2,Sarah - 507 Furhat,minIntensity,-0.3248487493,0.460465447,5.1499999999999995e-83,0.1037860516,4.22e-05,0.1213812033,1.57e-06,0.13090356960000002,2.1e-07,0.1304786336,2.2e-07,0.1286482583,3.4e-07,0.1224646474,1.27e-06,0.10668912039999999,2.55e-05
